Test Number,Time need to send(nano second),number of package,packet byte
179,68772500,1024,1024
179,94977400,2048,512
179,90743000,4096,256
180,59623400,1024,1024
180,58823100,2048,512
180,85189000,4096,256
181,80958900,1024,1024
181,71777300,2048,512
181,92368700,4096,256
182,65176000,1024,1024
182,75954200,2048,512
182,76174300,4096,256
183,93791900,1024,1024
183,66053100,2048,512
183,82840600,4096,256
184,78572500,1024,1024
184,26452600,2048,512
184,76111100,4096,256
185,60766000,1024,1024
185,95121600,2048,512
185,85136500,4096,256
186,68495400,1024,1024
186,76031800,2048,512
186,73774300,4096,256
187,77060500,1024,1024
187,59720400,2048,512
187,72738100,4096,256
188,82868400,1024,1024
188,11791600,2048,512
188,80977200,4096,256
189,80644300,1024,1024
189,1728600,2048,512
189,92416300,4096,256
190,67517400,1024,1024
190,46765200,2048,512
190,96579000,4096,256
191,55783400,1024,1024
191,28241200,2048,512
191,27457100,4096,256
192,79994900,1024,1024
192,79957100,2048,512
192,80699200,4096,256
193,85121900,1024,1024
193,98439200,2048,512
193,79718100,4096,256
194,57059400,1024,1024
194,82274800,2048,512
194,915800,4096,256
195,54110100,1024,1024
195,84348400,2048,512
195,79480100,4096,256
196,59741900,1024,1024
196,71606100,2048,512
196,85216600,4096,256
197,52153500,1024,1024
197,74488500,2048,512
197,76428400,4096,256
198,46412400,1024,1024
198,77968800,2048,512
198,5568700,4096,256
199,79055600,1024,1024
199,77529500,2048,512
199,87997000,4096,256
200,87422100,1024,1024
200,89352500,2048,512
200,90053600,4096,256
201,60566900,1024,1024
201,85900800,2048,512
201,80947000,4096,256
202,70968400,1024,1024
202,75153800,2048,512
202,92830000,4096,256
203,59450400,1024,1024
203,76880900,2048,512
203,88460900,4096,256
204,68537700,1024,1024
204,61920700,2048,512
204,5494900,4096,256
205,7016700,1024,1024
205,79564700,2048,512
205,98449200,4096,256
206,52064500,1024,1024
206,76356800,2048,512
206,92088100,4096,256
207,52148500,1024,1024
207,68874200,2048,512
207,11664800,4096,256
208,61512000,1024,1024
208,66786200,2048,512
208,78582700,4096,256
209,59296700,1024,1024
209,21101600,2048,512
209,34540800,4096,256
210,60001100,1024,1024
210,3987200,2048,512
210,84911000,4096,256
211,56673900,1024,1024
211,77681100,2048,512
211,5075200,4096,256
212,80696000,1024,1024
212,70171100,2048,512
212,81159600,4096,256
213,60314200,1024,1024
213,76949800,2048,512
213,72960600,4096,256
214,58882600,1024,1024
214,83019800,2048,512
214,15017600,4096,256
215,61801200,1024,1024
215,67344200,2048,512
215,76599200,4096,256
216,59304300,1024,1024
216,66849200,2048,512
216,81486100,4096,256
217,40213400,1024,1024
217,88785100,2048,512
217,65815300,4096,256
218,46750300,1024,1024
218,61575500,2048,512
218,85641800,4096,256
219,51419800,1024,1024
219,67964700,2048,512
219,73422100,4096,256
220,52104100,1024,1024
220,70392400,2048,512
220,73635200,4096,256
221,49091900,1024,1024
221,28838600,2048,512
221,71351600,4096,256
222,63627800,1024,1024
222,64996700,2048,512
222,87004100,4096,256
223,64206800,1024,1024
223,61752000,2048,512
223,78458400,4096,256
224,52511300,1024,1024
224,12244900,2048,512
224,12277300,4096,256
225,55424500,1024,1024
225,68519300,2048,512
225,93385800,4096,256
226,48914200,1024,1024
226,87047100,2048,512
226,32028000,4096,256
227,47774600,1024,1024
227,68613900,2048,512
227,11813800,4096,256
228,70667200,1024,1024
228,76425300,2048,512
228,85000500,4096,256
229,48778100,1024,1024
229,14359500,2048,512
229,2613700,4096,256
230,58218200,1024,1024
230,66624500,2048,512
230,17824000,4096,256
231,72230100,1024,1024
231,96968900,2048,512
231,11230300,4096,256
232,11267900,1024,1024
232,1833700,2048,512
232,78515000,4096,256
233,54517400,1024,1024
233,93853600,2048,512
233,86297600,4096,256
234,56424000,1024,1024
234,81627300,2048,512
234,99644700,4096,256
235,53151100,1024,1024
235,64876700,2048,512
235,80980800,4096,256
236,88517900,1024,1024
236,87922500,2048,512
236,78083500,4096,256
237,59070700,1024,1024
237,10620400,2048,512
237,81119600,4096,256
238,61020300,1024,1024
238,94878700,2048,512
238,98283300,4096,256
239,51914200,1024,1024
239,79073700,2048,512
239,77195800,4096,256
240,58256300,1024,1024
240,77141200,2048,512
240,79030600,4096,256
241,78739500,1024,1024
241,8489300,2048,512
241,75390400,4096,256
242,16749300,1024,1024
242,2959800,2048,512
242,93470900,4096,256
243,61150200,1024,1024
243,78097300,2048,512
243,95055100,4096,256
244,57439700,1024,1024
244,75649700,2048,512
244,80749300,4096,256
245,66532300,1024,1024
245,89047700,2048,512
245,86897100,4096,256
246,68524700,1024,1024
246,84720100,2048,512
246,2374000,4096,256
247,59431500,1024,1024
247,69821200,2048,512
247,89120900,4096,256
248,77404300,1024,1024
248,74120900,2048,512
248,83086600,4096,256
249,9333900,1024,1024
249,98557600,2048,512
249,79841500,4096,256
250,61014300,1024,1024
250,78328400,2048,512
250,99949400,4096,256
251,46864600,1024,1024
251,66067300,2048,512
251,90226300,4096,256
252,62977400,1024,1024
252,83888700,2048,512
252,77161500,4096,256
253,56389000,1024,1024
253,11028300,2048,512
253,2176000,4096,256
254,88506800,1024,1024
254,11373200,2048,512
254,89777500,4096,256
255,82268800,1024,1024
255,81226800,2048,512
255,27428300,4096,256
256,71795900,1024,1024
256,66482000,2048,512
256,72528000,4096,256
257,26165400,1024,1024
257,82581200,2048,512
257,84305300,4096,256
258,49667400,1024,1024
258,69353900,2048,512
258,78015900,4096,256
259,48503400,1024,1024
259,61221300,2048,512
259,82337900,4096,256
260,82931700,1024,1024
260,66208800,2048,512
260,79771100,4096,256
261,50355300,1024,1024
261,72950000,2048,512
261,83869700,4096,256
262,31377400,1024,1024
262,78650300,2048,512
262,80852000,4096,256
263,60982500,1024,1024
263,76662800,2048,512
263,93924400,4096,256
264,65036900,1024,1024
264,72385600,2048,512
264,79484300,4096,256
265,63021000,1024,1024
265,99376100,2048,512
265,83295700,4096,256
266,61839600,1024,1024
266,90619500,2048,512
266,21105000,4096,256
267,46311800,1024,1024
267,81235100,2048,512
267,28121500,4096,256
268,65462400,1024,1024
268,66549800,2048,512
268,78521900,4096,256
269,53154400,1024,1024
269,77232500,2048,512
269,75317900,4096,256
270,58577900,1024,1024
270,70697700,2048,512
270,86532400,4096,256
271,59844000,1024,1024
271,65578700,2048,512
271,80005300,4096,256
272,67611200,1024,1024
272,8438500,2048,512
272,13757200,4096,256
273,88678700,1024,1024
273,84051400,2048,512
273,79675500,4096,256
274,54749900,1024,1024
274,68573300,2048,512
274,86090900,4096,256
275,60916600,1024,1024
275,66495100,2048,512
275,93266500,4096,256
276,69586600,1024,1024
276,79981200,2048,512
276,89797500,4096,256
277,69697300,1024,1024
277,96493600,2048,512
277,2370400,4096,256
278,50988700,1024,1024
278,71751400,2048,512
278,87533100,4096,256
279,69118100,1024,1024
279,42384900,2048,512
279,83353200,4096,256
280,64089200,1024,1024
280,74811200,2048,512
280,28184700,4096,256
281,53892300,1024,1024
281,83782700,2048,512
281,85519600,4096,256
282,57981300,1024,1024
282,75285900,2048,512
282,88852500,4096,256
283,61209900,1024,1024
283,97020800,2048,512
283,99870100,4096,256
284,71089600,1024,1024
284,63363400,2048,512
284,85401300,4096,256
285,79470800,1024,1024
285,75521600,2048,512
285,71704300,4096,256
286,47927700,1024,1024
286,84812000,2048,512
286,4947300,4096,256
287,59501500,1024,1024
287,78668800,2048,512
287,82615700,4096,256
288,88388300,1024,1024
288,86009800,2048,512
288,82655300,4096,256
289,73392300,1024,1024
289,85946000,2048,512
289,83985300,4096,256
290,98574300,1024,1024
290,82658200,2048,512
290,98790700,4096,256
291,59294300,1024,1024
291,73992200,2048,512
291,96123300,4096,256
292,74545200,1024,1024
292,92682700,2048,512
292,78427200,4096,256
293,56756600,1024,1024
293,74174100,2048,512
293,936200,4096,256
294,76147000,1024,1024
294,2681900,2048,512
294,6091100,4096,256
295,65029500,1024,1024
295,75718800,2048,512
295,85370500,4096,256
296,70851300,1024,1024
296,87373500,2048,512
296,4125600,4096,256
297,92645900,1024,1024
297,86589600,2048,512
297,76752700,4096,256
298,45283400,1024,1024
298,35625100,2048,512
298,79224200,4096,256
299,56252500,1024,1024
299,41137100,2048,512
299,18963100,4096,256
300,56405100,1024,1024
300,71882300,2048,512
300,84643900,4096,256
301,97200,1024,1024
301,4664000,2048,512
301,92876800,4096,256
302,60081800,1024,1024
302,87751400,2048,512
302,73345700,4096,256
303,57218600,1024,1024
303,70643800,2048,512
303,93111300,4096,256
304,45457000,1024,1024
304,62588200,2048,512
304,4579800,4096,256
305,16732800,1024,1024
305,78352800,2048,512
305,82545300,4096,256
306,53024500,1024,1024
306,91530400,2048,512
306,77152100,4096,256
307,78797500,1024,1024
307,82473700,2048,512
307,99138600,4096,256
308,52776900,1024,1024
308,89498400,2048,512
308,14615100,4096,256
309,88276500,1024,1024
309,72353800,2048,512
309,78361600,4096,256
310,58170400,1024,1024
310,79426600,2048,512
310,78905700,4096,256
311,50575900,1024,1024
311,77555800,2048,512
311,85380200,4096,256
312,71594600,1024,1024
312,67619900,2048,512
312,75172400,4096,256
313,85821600,1024,1024
313,75629600,2048,512
313,85990900,4096,256
314,55744700,1024,1024
314,2906800,2048,512
314,82862600,4096,256
315,64385600,1024,1024
315,77797900,2048,512
315,3631000,4096,256
316,65847800,1024,1024
316,60526900,2048,512
316,82182800,4096,256
317,97757500,1024,1024
317,80721700,2048,512
317,82747800,4096,256
318,80337300,1024,1024
318,40095800,2048,512
318,89469400,4096,256
319,70096400,1024,1024
319,63974800,2048,512
319,89321300,4096,256
320,56525800,1024,1024
320,84568300,2048,512
320,90928800,4096,256
321,81930000,1024,1024
321,87236200,2048,512
321,89691700,4096,256
322,78340400,1024,1024
322,99585500,2048,512
322,78113600,4096,256
323,58126800,1024,1024
323,72503000,2048,512
323,94017700,4096,256
324,66601300,1024,1024
324,85962500,2048,512
324,94433600,4096,256
325,78915300,1024,1024
325,72028300,2048,512
325,83313300,4096,256
326,68418200,1024,1024
326,94573500,2048,512
326,87100900,4096,256
327,60377000,1024,1024
327,90995400,2048,512
327,8681100,4096,256
328,70551100,1024,1024
328,21560700,2048,512
328,79987900,4096,256
329,891500,1024,1024
329,10961100,2048,512
329,9223300,4096,256
330,58953000,1024,1024
330,70758200,2048,512
330,80042700,4096,256
331,59333900,1024,1024
331,99480000,2048,512
331,78701700,4096,256
332,53699100,1024,1024
332,73562800,2048,512
332,32806200,4096,256
333,68776600,1024,1024
333,63550500,2048,512
333,76501700,4096,256
334,79902600,1024,1024
334,86171000,2048,512
334,89693900,4096,256
335,66436100,1024,1024
335,10253600,2048,512
335,79562400,4096,256
336,51777500,1024,1024
336,83092300,2048,512
336,95197700,4096,256
337,54442500,1024,1024
337,64010300,2048,512
337,75719800,4096,256
338,50321700,1024,1024
338,68261100,2048,512
338,82575000,4096,256
339,52535200,1024,1024
339,80417300,2048,512
339,92556500,4096,256
340,56988100,1024,1024
340,77376700,2048,512
340,15403500,4096,256
341,60667200,1024,1024
341,68510600,2048,512
341,81941500,4096,256
342,66781400,1024,1024
342,73232100,2048,512
342,5095100,4096,256
343,50613600,1024,1024
343,76662300,2048,512
343,18253800,4096,256
344,48077200,1024,1024
344,60505200,2048,512
344,89507400,4096,256
345,5721100,1024,1024
345,64415900,2048,512
345,82880600,4096,256
346,74227700,1024,1024
346,91346100,2048,512
346,84886000,4096,256
347,52019500,1024,1024
347,77742600,2048,512
347,90663800,4096,256
348,52066900,1024,1024
348,77311600,2048,512
348,2523900,4096,256
349,4413400,1024,1024
349,72787200,2048,512
349,83738000,4096,256
350,61555000,1024,1024
350,76986000,2048,512
350,80687600,4096,256
351,50379000,1024,1024
351,67508800,2048,512
351,89323000,4096,256
352,83907800,1024,1024
352,6734400,2048,512
352,81663100,4096,256
353,64361700,1024,1024
353,95094000,2048,512
353,94514300,4096,256
354,52792900,1024,1024
354,27671500,2048,512
354,3736800,4096,256
355,54426600,1024,1024
355,70891600,2048,512
355,84343400,4096,256
356,59885100,1024,1024
356,80472600,2048,512
356,84805700,4096,256
357,55228600,1024,1024
357,85048900,2048,512
357,91636300,4096,256
358,59564200,1024,1024
358,2420800,2048,512
358,84457200,4096,256
359,64353100,1024,1024
359,76561600,2048,512
359,90772300,4096,256
360,46494000,1024,1024
360,64191300,2048,512
360,75714000,4096,256
361,95140600,1024,1024
361,71156000,2048,512
361,86665400,4096,256
362,83328400,1024,1024
362,15934600,2048,512
362,86032300,4096,256
363,59955700,1024,1024
363,79065200,2048,512
363,5527500,4096,256
364,68353700,1024,1024
364,36209600,2048,512
364,9460200,4096,256
365,67701300,1024,1024
365,81955000,2048,512
365,82482500,4096,256
366,37401800,1024,1024
366,94659500,2048,512
366,79544100,4096,256
367,78473700,1024,1024
367,89668300,2048,512
367,99018900,4096,256
368,50377000,1024,1024
368,26493800,2048,512
368,28049000,4096,256
369,77980700,1024,1024
369,26804500,2048,512
369,5362200,4096,256
370,89407700,1024,1024
370,66530400,2048,512
370,6927200,4096,256
371,36147400,1024,1024
371,74648800,2048,512
371,76678500,4096,256
372,69804500,1024,1024
372,77935300,2048,512
372,86282400,4096,256
373,44281800,1024,1024
373,5064300,2048,512
373,8570900,4096,256
374,33465600,1024,1024
374,6082000,2048,512
374,93523100,4096,256
375,51032000,1024,1024
375,68981100,2048,512
375,81242400,4096,256
376,12341500,1024,1024
376,41433500,2048,512
376,73784100,4096,256
377,45010600,1024,1024
377,75289600,2048,512
377,85882500,4096,256
378,45312400,1024,1024
378,6288000,2048,512
378,56222100,4096,256
379,94638500,1024,1024
379,905000,2048,512
379,18679400,4096,256
380,84168000,1024,1024
380,96109400,2048,512
380,88026000,4096,256
381,73729300,1024,1024
381,29838100,2048,512
381,78703600,4096,256
382,76926900,1024,1024
382,96749900,2048,512
382,85640100,4096,256
383,85621000,1024,1024
383,85680800,2048,512
383,89820200,4096,256
384,87022200,1024,1024
384,79843600,2048,512
384,3848400,4096,256
385,97061200,1024,1024
385,73460300,2048,512
385,84277700,4096,256
386,84550000,1024,1024
386,93767300,2048,512
386,79882000,4096,256
387,58825700,1024,1024
387,95371300,2048,512
387,92509500,4096,256
388,55430700,1024,1024
388,14390200,2048,512
388,89232000,4096,256
389,86601900,1024,1024
389,64274900,2048,512
389,78741900,4096,256
390,77996300,1024,1024
390,84121400,2048,512
390,91312500,4096,256
391,53170200,1024,1024
391,95140400,2048,512
391,95251500,4096,256
392,56840500,1024,1024
392,83684300,2048,512
392,94405500,4096,256
393,62167400,1024,1024
393,67487500,2048,512
393,85513600,4096,256
394,62125900,1024,1024
394,91731200,2048,512
394,72628700,4096,256
395,63563900,1024,1024
395,9055400,2048,512
395,12516400,4096,256
396,63072800,1024,1024
396,79806900,2048,512
396,85635500,4096,256
397,70839300,1024,1024
397,71863200,2048,512
397,88927800,4096,256
398,45642300,1024,1024
398,18620700,2048,512
398,86425800,4096,256
399,90313900,1024,1024
399,3920200,2048,512
399,4258800,4096,256
400,49106700,1024,1024
400,81508600,2048,512
400,85695300,4096,256
401,61466700,1024,1024
401,79714600,2048,512
401,93346200,4096,256
402,69214500,1024,1024
402,69323700,2048,512
402,80865900,4096,256
403,8957800,1024,1024
403,84537300,2048,512
403,88856800,4096,256
404,61144100,1024,1024
404,87711300,2048,512
404,92000600,4096,256
405,60167400,1024,1024
405,72686900,2048,512
405,95814200,4096,256
406,91299700,1024,1024
406,68897100,2048,512
406,86585700,4096,256
407,72207500,1024,1024
407,2788000,2048,512
407,90648200,4096,256
408,82938800,1024,1024
408,20418100,2048,512
408,94279500,4096,256
409,62134100,1024,1024
409,95670300,2048,512
409,6488100,4096,256
410,67512000,1024,1024
