Test Number,Time need to send(nano second),number of package,packet byte
0,53316200,1024,1024
0,47653200,2048,512
0,13588700,4096,256
1,54678400,1024,1024
1,59916500,2048,512
1,83146800,4096,256
2,60344700,1024,1024
2,79601300,2048,512
2,79367000,4096,256
3,53083700,1024,1024
3,82502800,2048,512
3,92578400,4096,256
4,52641400,1024,1024
4,65978100,2048,512
4,90275100,4096,256
5,69525100,1024,1024
5,61898100,2048,512
5,82558500,4096,256
6,55807100,1024,1024
6,85215900,2048,512
6,91797700,4096,256
7,64388400,1024,1024
7,4868800,2048,512
7,91982100,4096,256
8,49588000,1024,1024
8,72517400,2048,512
8,98433300,4096,256
9,70968400,1024,1024
9,69815800,2048,512
9,77688600,4096,256
10,54065100,1024,1024
10,89172000,2048,512
10,90212500,4096,256
11,57751200,1024,1024
11,86772800,2048,512
11,11805300,4096,256
12,54307300,1024,1024
12,74780600,2048,512
12,83596600,4096,256
13,67213600,1024,1024
13,71175600,2048,512
13,93906800,4096,256
14,70819700,1024,1024
14,90016800,2048,512
14,81915900,4096,256
15,48949100,1024,1024
15,68111400,2048,512
15,93040000,4096,256
16,55048600,1024,1024
16,66796900,2048,512
16,76702400,4096,256
17,73611600,1024,1024
17,68661400,2048,512
17,84684800,4096,256
18,57468800,1024,1024
18,5126600,2048,512
18,87197700,4096,256
19,56784500,1024,1024
19,69791000,2048,512
19,4529000,4096,256
20,56319300,1024,1024
20,65915800,2048,512
20,88242000,4096,256
21,84389700,1024,1024
21,76845200,2048,512
21,80257400,4096,256
22,47806100,1024,1024
22,40886100,2048,512
22,91698700,4096,256
23,43842000,1024,1024
23,60466700,2048,512
23,99852700,4096,256
24,56906300,1024,1024
24,68947700,2048,512
24,87855200,4096,256
25,95045000,1024,1024
25,74124300,2048,512
25,78704400,4096,256
26,46141500,1024,1024
26,71572000,2048,512
26,83498400,4096,256
27,49834800,1024,1024
27,64487500,2048,512
27,7086600,4096,256
28,65830200,1024,1024
28,85687600,2048,512
28,86682800,4096,256
29,76528700,1024,1024
29,79992200,2048,512
29,78417400,4096,256
30,47198800,1024,1024
30,76450800,2048,512
30,29787000,4096,256
31,87994800,1024,1024
31,40075100,2048,512
31,38063700,4096,256
32,63937000,1024,1024
32,64356800,2048,512
32,96449400,4096,256
33,85364400,1024,1024
33,86992100,2048,512
33,87182200,4096,256
34,58284300,1024,1024
34,4299700,2048,512
34,79458400,4096,256
35,77858400,1024,1024
35,70349200,2048,512
35,84606400,4096,256
36,50129800,1024,1024
36,67229300,2048,512
36,90285100,4096,256
37,58386400,1024,1024
37,75114400,2048,512
37,86818700,4096,256
38,67967100,1024,1024
38,91730900,2048,512
38,90147700,4096,256
39,70258700,1024,1024
39,96306900,2048,512
39,37533400,4096,256
40,19023300,1024,1024
40,85385800,2048,512
40,252900,4096,256
41,58252400,1024,1024
41,68273200,2048,512
41,93944400,4096,256
42,15843300,1024,1024
42,66772900,2048,512
42,4399700,4096,256
43,65245900,1024,1024
43,48798700,2048,512
43,83040600,4096,256
44,69734600,1024,1024
44,26885300,2048,512
44,2836100,4096,256
45,76332700,1024,1024
45,89249100,2048,512
45,13512100,4096,256
46,5683200,1024,1024
46,65400,2048,512
46,22540500,4096,256
47,43270400,1024,1024
47,10679900,2048,512
47,22096800,4096,256
48,88262000,1024,1024
48,66245200,2048,512
48,77007600,4096,256
49,48017000,1024,1024
49,89378400,2048,512
49,99492300,4096,256
50,70711400,1024,1024
50,86769700,2048,512
50,52943300,4096,256
51,38979600,1024,1024
51,59344200,2048,512
51,83756300,4096,256
52,57239600,1024,1024
52,67366700,2048,512
52,72144000,4096,256
53,46310400,1024,1024
53,75862600,2048,512
53,81295800,4096,256
54,49696800,1024,1024
54,62499400,2048,512
54,99067300,4096,256
55,54228500,1024,1024
55,10256900,2048,512
55,69329900,4096,256
56,50903300,1024,1024
56,87723000,2048,512
56,76428100,4096,256
57,33241200,1024,1024
57,79504000,2048,512
57,98602500,4096,256
58,65705000,1024,1024
58,83118200,2048,512
58,82591800,4096,256
59,48322700,1024,1024
59,63960000,2048,512
59,96261800,4096,256
60,86393600,1024,1024
60,89322700,2048,512
60,85725000,4096,256
61,53208600,1024,1024
61,53823700,2048,512
61,4182800,4096,256
62,76871400,1024,1024
62,2793600,2048,512
62,84451900,4096,256
63,72191200,1024,1024
63,23762400,2048,512
63,2276900,4096,256
64,72781300,1024,1024
64,68020400,2048,512
64,85349600,4096,256
65,92046300,1024,1024
65,1198800,2048,512
65,84134200,4096,256
66,50129600,1024,1024
66,77488400,2048,512
66,88790700,4096,256
67,45217600,1024,1024
67,63032100,2048,512
67,78912200,4096,256
68,58400500,1024,1024
68,90131300,2048,512
68,85878000,4096,256
69,67919700,1024,1024
69,83952500,2048,512
69,79253700,4096,256
70,49098600,1024,1024
70,70343500,2048,512
70,97411500,4096,256
71,46762700,1024,1024
71,62990500,2048,512
71,75126500,4096,256
72,65238100,1024,1024
72,68501600,2048,512
72,8824600,4096,256
73,63562300,1024,1024
73,94070200,2048,512
73,76955000,4096,256
74,49353400,1024,1024
74,68855300,2048,512
74,84874000,4096,256
75,51701800,1024,1024
75,65870300,2048,512
75,78825200,4096,256
76,52329500,1024,1024
76,76688500,2048,512
76,78370500,4096,256
77,50656900,1024,1024
77,73457600,2048,512
77,5158800,4096,256
78,45872200,1024,1024
78,67409500,2048,512
78,76908700,4096,256
79,58013400,1024,1024
79,73678100,2048,512
79,87067000,4096,256
80,70253800,1024,1024
80,87077100,2048,512
80,80732400,4096,256
81,57309500,1024,1024
81,70791500,2048,512
81,17036300,4096,256
82,50574800,1024,1024
82,76793900,2048,512
82,80390700,4096,256
83,65237100,1024,1024
83,95583400,2048,512
83,80685700,4096,256
84,59726800,1024,1024
84,86805400,2048,512
84,80563200,4096,256
85,47792200,1024,1024
85,2744300,2048,512
85,13142800,4096,256
86,48836500,1024,1024
86,74188500,2048,512
86,90048800,4096,256
87,80050600,1024,1024
87,63883800,2048,512
87,87066700,4096,256
88,66508600,1024,1024
88,85906100,2048,512
88,79205500,4096,256
89,53455300,1024,1024
89,74292200,2048,512
89,91005800,4096,256
90,55505000,1024,1024
90,64271600,2048,512
90,79928700,4096,256
91,60051900,1024,1024
91,73771200,2048,512
91,86402900,4096,256
92,45715200,1024,1024
92,84915300,2048,512
92,90429900,4096,256
93,47624400,1024,1024
93,64769300,2048,512
93,21334300,4096,256
94,56566300,1024,1024
94,65531000,2048,512
94,79282100,4096,256
95,4463800,1024,1024
95,80088600,2048,512
95,76248600,4096,256
96,47689900,1024,1024
96,82925600,2048,512
96,96824200,4096,256
97,47116900,1024,1024
97,62898800,2048,512
97,3639800,4096,256
98,67110500,1024,1024
98,75417400,2048,512
98,77737800,4096,256
99,58294000,1024,1024
99,74177800,2048,512
99,88178500,4096,256
100,58692800,1024,1024
100,81823900,2048,512
100,9678500,4096,256
101,54351500,1024,1024
101,70309600,2048,512
101,97804300,4096,256
102,94832100,1024,1024
102,73663300,2048,512
102,91957200,4096,256
103,67794100,1024,1024
103,88138700,2048,512
103,92583900,4096,256
104,56349500,1024,1024
104,17762900,2048,512
104,85996600,4096,256
105,47376500,1024,1024
105,62626300,2048,512
105,82229400,4096,256
106,64573700,1024,1024
106,95400800,2048,512
106,77753900,4096,256
107,50956100,1024,1024
107,77688800,2048,512
107,88049800,4096,256
108,57949400,1024,1024
108,83359800,2048,512
108,13719100,4096,256
109,57067500,1024,1024
109,83075200,2048,512
109,93575100,4096,256
110,76157400,1024,1024
110,72753200,2048,512
110,76111600,4096,256
111,49713000,1024,1024
111,75365600,2048,512
111,86404400,4096,256
112,56065300,1024,1024
112,78423400,2048,512
112,2104200,4096,256
113,59796100,1024,1024
113,74764400,2048,512
113,88992200,4096,256
114,68833200,1024,1024
114,69827800,2048,512
114,4546700,4096,256
115,59615600,1024,1024
115,96376800,2048,512
115,89182800,4096,256
116,57459200,1024,1024
116,66730800,2048,512
116,90099800,4096,256
117,50212500,1024,1024
117,63585700,2048,512
117,88207200,4096,256
118,74013800,1024,1024
118,77847800,2048,512
118,91599700,4096,256
119,65752300,1024,1024
119,98350700,2048,512
119,78497300,4096,256
120,53730100,1024,1024
120,64530500,2048,512
120,80309000,4096,256
121,53120100,1024,1024
121,64810800,2048,512
121,75655500,4096,256
122,56004500,1024,1024
122,76170300,2048,512
122,75516500,4096,256
123,50207400,1024,1024
123,70052400,2048,512
123,7993100,4096,256
124,49870600,1024,1024
124,61903100,2048,512
124,79558100,4096,256
125,62606600,1024,1024
125,63595500,2048,512
125,74551100,4096,256
126,54911000,1024,1024
126,463200,2048,512
126,96107900,4096,256
127,54271900,1024,1024
127,95508900,2048,512
127,10644800,4096,256
128,59768200,1024,1024
128,72944100,2048,512
128,84296600,4096,256
129,80225600,1024,1024
129,72538000,2048,512
129,85161200,4096,256
130,61729600,1024,1024
130,95622500,2048,512
130,81540700,4096,256
131,59412900,1024,1024
131,95477800,2048,512
131,37911600,4096,256
132,47136200,1024,1024
132,69298900,2048,512
132,84610500,4096,256
133,78794500,1024,1024
133,68858300,2048,512
133,82465800,4096,256
134,58374400,1024,1024
134,97929800,2048,512
134,81014000,4096,256
135,55221100,1024,1024
135,78274600,2048,512
135,2916500,4096,256
136,46965600,1024,1024
136,65782500,2048,512
136,88877000,4096,256
137,77583100,1024,1024
137,71638500,2048,512
137,82114900,4096,256
138,57734400,1024,1024
138,1357100,2048,512
138,82648500,4096,256
139,55620300,1024,1024
139,71604800,2048,512
139,14236100,4096,256
140,63284200,1024,1024
140,64890400,2048,512
140,82685200,4096,256
141,73550900,1024,1024
141,76420100,2048,512
141,82776600,4096,256
142,53114700,1024,1024
142,3334100,2048,512
142,83689200,4096,256
143,58425000,1024,1024
143,69284200,2048,512
143,1593200,4096,256
144,70162300,1024,1024
144,74306300,2048,512
144,84058700,4096,256
145,74746400,1024,1024
145,75167300,2048,512
145,82742900,4096,256
146,54945400,1024,1024
146,94391600,2048,512
146,88939800,4096,256
147,56245700,1024,1024
147,70462400,2048,512
147,96998600,4096,256
148,72176500,1024,1024
148,72803600,2048,512
148,81367100,4096,256
149,76597000,1024,1024
149,24695400,2048,512
149,11937600,4096,256
150,66917100,1024,1024
150,6331300,2048,512
150,74550400,4096,256
151,72942600,1024,1024
151,5254600,2048,512
151,22144700,4096,256
152,69182700,1024,1024
152,37458400,2048,512
152,92598800,4096,256
153,59887700,1024,1024
153,74007700,2048,512
153,82330500,4096,256
154,75162900,1024,1024
154,91740400,2048,512
154,84850500,4096,256
155,56470600,1024,1024
155,98922800,2048,512
155,96142100,4096,256
156,53820500,1024,1024
156,69513400,2048,512
156,94379500,4096,256
157,2892400,1024,1024
157,10022800,2048,512
157,99291400,4096,256
158,99694100,1024,1024
158,88258900,2048,512
158,96770800,4096,256
159,64137000,1024,1024
159,95486800,2048,512
159,92309600,4096,256
160,9638300,1024,1024
160,91214000,2048,512
160,83215700,4096,256
161,72679000,1024,1024
161,83151800,2048,512
161,88783100,4096,256
162,36442300,1024,1024
162,63129800,2048,512
162,80235500,4096,256
163,60453300,1024,1024
163,67581800,2048,512
163,74370100,4096,256
164,63577800,1024,1024
164,83089400,2048,512
164,95207600,4096,256
165,58708600,1024,1024
165,91931000,2048,512
165,96529900,4096,256
166,55529800,1024,1024
166,67035600,2048,512
166,95937200,4096,256
167,47256800,1024,1024
167,8102600,2048,512
167,76858700,4096,256
168,46724500,1024,1024
168,83553700,2048,512
168,9595900,4096,256
169,65099600,1024,1024
169,74342700,2048,512
169,36941900,4096,256
170,96120900,1024,1024
170,61339700,2048,512
170,94062900,4096,256
171,84038200,1024,1024
171,75849900,2048,512
171,39796700,4096,256
172,92711200,1024,1024
172,2271300,2048,512
172,77312300,4096,256
173,49910400,1024,1024
173,65735300,2048,512
173,86390100,4096,256
174,58145200,1024,1024
174,82163700,2048,512
174,85701800,4096,256
175,86418900,1024,1024
175,93721000,2048,512
175,83842000,4096,256
176,52858200,1024,1024
176,98532300,2048,512
176,4100100,4096,256
177,51889900,1024,1024
177,79328200,2048,512
177,93763400,4096,256
178,63841800,1024,1024
178,64801100,2048,512
178,79135000,4096,256
