Test Number,RTT(nano second),packet byte
76,5200 ,8
76,31500 ,64
76,56600 ,256
76,53000 ,1024
77,34300 ,8
77,32800 ,64
77,74200 ,256
77,50100 ,1024
78,29700 ,8
78,14200 ,64
78,52000 ,256
78,88100 ,1024
79,20900 ,8
79,09500 ,64
79,59900 ,256
79,65200 ,1024
80,8700 ,8
80,31000 ,64
80,77100 ,256
80,71500 ,1024
81,3500 ,8
81,09000 ,64
81,25800 ,256
81,62800 ,1024
82,26200 ,8
82,29600 ,64
82,73300 ,256
82,75100 ,1024
83,12200 ,8
83,24800 ,64
83,43200 ,256
83,38300 ,1024
84,07300 ,8
84,8700 ,64
84,49300 ,256
84,57400 ,1024
85,28000 ,8
85,4400 ,64
85,57800 ,256
85,83400 ,1024
86,06500 ,8
86,1200 ,64
86,11600 ,256
86,52500 ,1024
87,9800 ,8
87,40200 ,64
87,58000 ,256
87,69400 ,1024
88,10900 ,8
88,17100 ,64
88,80000 ,256
88,42100 ,1024
89,6600 ,8
89,5500 ,64
89,22400 ,256
89,72200 ,1024
90,72500 ,8
90,15800 ,64
90,46200 ,256
90,24100 ,1024
91,68600 ,8
91,94400 ,64
91,95400 ,256
91,06600 ,1024
92,37800 ,8
92,63200 ,64
92,03800 ,256
92,91600 ,1024
93,48400 ,8
93,41200 ,64
93,93000 ,256
93,94200 ,1024
94,3600 ,8
94,59300 ,64
94,22500 ,256
94,47600 ,1024
95,9100 ,8
95,35800 ,64
95,84200 ,256
95,59800 ,1024
96,46400 ,8
96,53400 ,64
96,03800 ,256
96,34500 ,1024
97,82200 ,8
97,41900 ,64
97,16400 ,256
97,85700 ,1024
98,7700 ,8
98,03500 ,64
98,38700 ,256
98,30200 ,1024
99,6700 ,8
99,5900 ,64
99,74700 ,256
99,97100 ,1024
100,5000 ,8
100,2100 ,64
100,63000 ,256
100,78300 ,1024
101,7400 ,8
101,00500 ,64
101,23000 ,256
101,23600 ,1024
102,5200 ,8
102,2700 ,64
102,09200 ,256
102,65900 ,1024
103,0900 ,8
103,1900 ,64
103,13400 ,256
103,57100 ,1024
104,46200 ,8
104,42300 ,64
104,05000 ,256
104,63800 ,1024
105,25600 ,8
105,37800 ,64
105,81100 ,256
105,07100 ,1024
106,27500 ,8
106,31200 ,64
106,51800 ,256
106,72700 ,1024
107,14800 ,8
107,17500 ,64
107,56700 ,256
107,03300 ,1024
108,10400 ,8
108,19000 ,64
108,58500 ,256
108,25200 ,1024
109,12100 ,8
109,12800 ,64
109,51800 ,256
109,72800 ,1024
110,12600 ,8
110,32700 ,64
110,59500 ,256
110,60100 ,1024
111,21800 ,8
111,18100 ,64
111,58800 ,256
111,18900 ,1024
112,06500 ,8
112,15300 ,64
112,69600 ,256
112,83100 ,1024
113,0900 ,8
113,0400 ,64
113,09900 ,256
113,53000 ,1024
114,9300 ,8
114,6300 ,64
114,73500 ,256
114,74400 ,1024
115,08600 ,8
115,62700 ,64
115,40200 ,256
115,60200 ,1024
116,9200 ,8
116,4100 ,64
116,36600 ,256
116,50200 ,1024
117,3900 ,8
117,6900 ,64
117,03300 ,256
117,47500 ,1024
118,0100 ,8
118,2300 ,64
118,33800 ,256
118,51100 ,1024
119,0100 ,8
119,7200 ,64
119,34900 ,256
119,44100 ,1024
120,6000 ,8
120,0300 ,64
120,37000 ,256
120,68400 ,1024
121,7500 ,8
121,0600 ,64
121,62600 ,256
121,33800 ,1024
122,2000 ,8
122,0300 ,64
122,31500 ,256
122,38800 ,1024
123,8400 ,8
123,2700 ,64
123,74300 ,256
123,36900 ,1024
124,7400 ,8
124,2200 ,64
124,023900 ,256
124,43500 ,1024
125,2400 ,8
125,4200 ,64
125,30900 ,256
125,98900 ,1024
126,4000 ,8
126,07200 ,64
126,28000 ,256
126,49200 ,1024
127,44600 ,8
127,21100 ,64
127,66900 ,256
127,03600 ,1024
128,23800 ,8
128,76100 ,64
128,85800 ,256
128,24000 ,1024
129,06800 ,8
129,00700 ,64
129,65000 ,256
129,21000 ,1024
130,0100 ,8
130,3200 ,64
130,28100 ,256
130,42900 ,1024
131,2200 ,8
131,8400 ,64
131,41200 ,256
131,64000 ,1024
132,5800 ,8
132,09400 ,64
132,37700 ,256
132,36700 ,1024
133,8400 ,8
133,8400 ,64
133,00000 ,256
133,29100 ,1024
134,1400 ,8
134,8300 ,64
134,8300 ,256
134,68600 ,1024
135,7600 ,8
135,5700 ,64
135,8200 ,256
135,13400 ,1024
136,2500 ,8
136,31300 ,64
136,15200 ,256
136,40400 ,1024
137,5900 ,8
137,9200 ,64
137,29200 ,256
137,29900 ,1024
138,18200 ,8
138,03100 ,64
138,17000 ,256
138,10000 ,1024
139,4400 ,8
139,4700 ,64
139,10800 ,256
139,40900 ,1024
140,0900 ,8
140,4300 ,64
140,9000 ,256
140,52000 ,1024
141,4700 ,8
141,0900 ,64
141,8900 ,256
141,24400 ,1024
142,4000 ,8
142,7900 ,64
142,08900 ,256
142,03200 ,1024
143,05300 ,8
143,56600 ,64
143,62100 ,256
143,46500 ,1024
144,04100 ,8
144,26100 ,64
144,62100 ,256
144,61800 ,1024
145,16800 ,8
145,09000 ,64
145,37900 ,256
145,41800 ,1024
146,20700 ,8
146,2900 ,64
146,22400 ,256
146,16200 ,1024
147,1800 ,8
147,6100 ,64
147,65600 ,256
147,21700 ,1024
148,21900 ,8
148,07100 ,64
148,54400 ,256
148,72900 ,1024
149,2600 ,8
149,9200 ,64
149,10200 ,256
149,73600 ,1024
150,90700 ,8
150,6800 ,64
150,16200 ,256
150,24000 ,1024
151,9700 ,8
151,6500 ,64
151,35700 ,256
151,33900 ,1024
152,2400 ,8
152,1500 ,64
152,32700 ,256
152,68100 ,1024
153,8100 ,8
153,1000 ,64
153,07700 ,256
153,18200 ,1024
154,6000 ,8
154,5800 ,64
154,21800 ,256
154,27500 ,1024
155,9500 ,8
155,4900 ,64
155,28700 ,256
155,18600 ,1024
156,4000 ,8
156,6300 ,64
156,02300 ,256
156,54200 ,1024
157,4200 ,8
157,33000 ,64
157,07800 ,256
157,51700 ,1024
158,8900 ,8
158,0100 ,64
158,13700 ,256
158,16800 ,1024
159,2700 ,8
159,00800 ,64
159,12700 ,256
159,12600 ,1024
160,7800 ,8
160,9400 ,64
160,13500 ,256
160,09900 ,1024
161,06300 ,8
161,27500 ,64
161,54900 ,256
161,22600 ,1024
162,80000 ,8
162,02000 ,64
162,34500 ,256
162,40700 ,1024
163,87600 ,8
163,23300 ,64
163,47600 ,256
163,17600 ,1024
164,36800 ,8
164,26100 ,64
164,29900 ,256
164,40800 ,1024
165,25300 ,8
165,93200 ,64
165,64800 ,256
165,57700 ,1024
166,8900 ,8
166,3600 ,64
166,25200 ,256
166,83200 ,1024
167,2500 ,8
167,4700 ,64
167,28700 ,256
167,59400 ,1024
168,0100 ,8
168,02600 ,64
168,55900 ,256
168,50400 ,1024
169,5600 ,8
169,8300 ,64
169,15200 ,256
169,67800 ,1024
170,08300 ,8
170,4800 ,64
170,03200 ,256
170,54400 ,1024
171,4700 ,8
171,6800 ,64
171,6600 ,256
171,31500 ,1024
172,2500 ,8
172,3000 ,64
172,18000 ,256
172,44900 ,1024
173,6100 ,8
173,6500 ,64
173,34000 ,256
173,89100 ,1024
174,8800 ,8
174,3500 ,64
174,50000 ,256
174,43100 ,1024
175,4600 ,8
175,00200 ,64
175,10600 ,256
175,26200 ,1024
176,17600 ,8
176,28200 ,64
176,65300 ,256
176,12000 ,1024
177,30000 ,8
177,20400 ,64
177,43700 ,256
177,46700 ,1024
178,05000 ,8
178,10800 ,64
178,42100 ,256
178,77900 ,1024
179,27200 ,8
179,3800 ,64
179,08900 ,256
179,54400 ,1024
180,8200 ,8
180,1700 ,64
180,2500 ,256
180,25500 ,1024
181,10300 ,8
181,36400 ,64
181,54200 ,256
181,64700 ,1024
182,7200 ,8
182,11700 ,64
182,73200 ,256
182,83700 ,1024
183,42600 ,8
183,22600 ,64
183,40200 ,256
183,77900 ,1024
184,5300 ,8
184,29000 ,64
184,43100 ,256
184,78200 ,1024
185,2400 ,8
185,8000 ,64
185,02000 ,256
185,25100 ,1024
186,6900 ,8
186,3100 ,64
186,06400 ,256
186,97600 ,1024
187,10700 ,8
187,5700 ,64
187,29600 ,256
187,38500 ,1024
188,7000 ,8
188,1200 ,64
188,01000 ,256
188,14500 ,1024
189,3800 ,8
189,1700 ,64
189,13300 ,256
189,40600 ,1024
190,5200 ,8
190,2700 ,64
190,03600 ,256
190,14600 ,1024
191,3500 ,8
191,2900 ,64
191,21600 ,256
191,50300 ,1024
192,2100 ,8
192,9500 ,64
192,22600 ,256
192,52200 ,1024
193,8100 ,8
193,3800 ,64
193,12000 ,256
193,35700 ,1024
194,45500 ,8
194,12300 ,64
194,15600 ,256
194,45300 ,1024
195,0700 ,8
195,12400 ,64
195,01600 ,256
195,36100 ,1024
196,0900 ,8
196,6600 ,64
196,05300 ,256
196,141100 ,1024
197,1500 ,8
197,4000 ,64
197,20700 ,256
197,48700 ,1024
198,2300 ,8
198,3800 ,64
198,07000 ,256
198,16700 ,1024
199,6500 ,8
199,09600 ,64
199,12900 ,256
199,33800 ,1024
200,6600 ,8
200,1000 ,64
200,35800 ,256
200,56900 ,1024
201,6500 ,8
201,5900 ,64
201,03700 ,256
201,51100 ,1024
202,09600 ,8
202,9200 ,64
202,18800 ,256
202,80900 ,1024
203,07000 ,8
203,7100 ,64
203,28600 ,256
203,50400 ,1024
204,7000 ,8
204,3200 ,64
204,12800 ,256
204,57800 ,1024
205,8000 ,8
205,8000 ,64
205,09200 ,256
205,63100 ,1024
206,0700 ,8
206,1400 ,64
206,23100 ,256
206,44800 ,1024
207,27700 ,8
207,15800 ,64
207,36100 ,256
207,51600 ,1024
208,11100 ,8
208,26600 ,64
208,67300 ,256
208,16800 ,1024
209,30000 ,8
209,09200 ,64
209,76000 ,256
209,63400 ,1024
210,0600 ,8
210,1400 ,64
210,93800 ,256
210,73500 ,1024
211,33400 ,8
211,20100 ,64
211,46500 ,256
211,26900 ,1024
212,24600 ,8
212,24200 ,64
212,57700 ,256
212,93000 ,1024
213,53300 ,8
213,22000 ,64
213,53700 ,256
213,63000 ,1024
214,02300 ,8
214,06900 ,64
214,56200 ,256
214,39200 ,1024
215,24800 ,8
215,50300 ,64
215,41500 ,256
215,86400 ,1024
216,4400 ,8
216,6400 ,64
216,25600 ,256
216,64800 ,1024
217,18000 ,8
217,9300 ,64
217,50400 ,256
217,38000 ,1024
218,3200 ,8
218,1900 ,64
218,26800 ,256
218,32400 ,1024
219,8000 ,8
219,4500 ,64
219,46700 ,256
219,43500 ,1024
220,3300 ,8
220,37800 ,64
220,19900 ,256
220,77200 ,1024
221,5300 ,8
221,9800 ,64
221,34900 ,256
221,32300 ,1024
222,13300 ,8
222,33600 ,64
222,33200 ,256
222,65600 ,1024
223,8600 ,8
223,9400 ,64
223,25400 ,256
223,56200 ,1024
224,8400 ,8
224,0400 ,64
224,44500 ,256
224,77600 ,1024
225,8200 ,8
225,2100 ,64
225,47600 ,256
225,34100 ,1024
226,9700 ,8
226,6500 ,64
226,19400 ,256
226,45600 ,1024
227,1100 ,8
227,6500 ,64
227,59900 ,256
227,32600 ,1024
228,1700 ,8
228,2500 ,64
228,00600 ,256
228,29100 ,1024
229,3000 ,8
229,5100 ,64
229,05200 ,256
229,36200 ,1024
230,2500 ,8
230,9400 ,64
230,32700 ,256
230,41000 ,1024
231,8600 ,8
231,7500 ,64
231,94700 ,256
231,56100 ,1024
232,9200 ,8
232,6600 ,64
232,23100 ,256
232,31400 ,1024
233,87800 ,8
233,9400 ,64
233,21600 ,256
233,10800 ,1024
234,24900 ,8
234,33400 ,64
234,46400 ,256
234,35700 ,1024
235,14700 ,8
235,20200 ,64
235,37500 ,256
235,91200 ,1024
236,06600 ,8
236,5800 ,64
236,03200 ,256
236,90200 ,1024
237,14100 ,8
237,8900 ,64
237,03400 ,256
237,40100 ,1024
238,3400 ,8
238,6900 ,64
238,3900 ,256
238,38000 ,1024
239,9400 ,8
239,2200 ,64
239,48700 ,256
239,05400 ,1024
240,31700 ,8
240,15300 ,64
240,38100 ,256
240,27600 ,1024
241,15100 ,8
241,89700 ,64
241,70100 ,256
241,91000 ,1024
242,19500 ,8
242,11400 ,64
242,36000 ,256
242,35000 ,1024
243,7500 ,8
243,2500 ,64
243,10200 ,256
243,69800 ,1024
244,28800 ,8
244,20300 ,64
244,48600 ,256
244,00500 ,1024
245,3500 ,8
245,03600 ,64
245,16800 ,256
245,69700 ,1024
246,9200 ,8
246,1700 ,64
246,7400 ,256
246,27100 ,1024
247,7600 ,8
247,4500 ,64
247,6400 ,256
247,22600 ,1024
248,6900 ,8
248,7300 ,64
248,00200 ,256
248,52900 ,1024
249,6900 ,8
249,4200 ,64
249,06500 ,256
249,29500 ,1024
250,5500 ,8
250,7300 ,64
250,6200 ,256
250,22900 ,1024
251,3400 ,8
251,2800 ,64
251,25300 ,256
251,47300 ,1024
252,4900 ,8
252,5700 ,64
252,5300 ,256
252,26300 ,1024
253,7700 ,8
253,7000 ,64
253,1600 ,256
253,04500 ,1024
254,8900 ,8
254,00500 ,64
254,17800 ,256
254,51000 ,1024
255,4700 ,8
255,9100 ,64
255,20700 ,256
255,56100 ,1024
256,6900 ,8
256,9900 ,64
256,09300 ,256
256,21000 ,1024
257,5900 ,8
257,12700 ,64
257,13800 ,256
257,42000 ,1024
258,7000 ,8
258,2400 ,64
258,2400 ,256
258,29900 ,1024
259,5500 ,8
259,3400 ,64
259,10900 ,256
259,89000 ,1024
260,18000 ,8
260,08900 ,64
260,30300 ,256
260,88100 ,1024
261,4400 ,8
261,8800 ,64
261,28800 ,256
261,63100 ,1024
262,6600 ,8
262,55100 ,64
262,25000 ,256
262,69700 ,1024
263,11300 ,8
263,8900 ,64
263,27000 ,256
263,56500 ,1024
264,0800 ,8
264,1000 ,64
264,47900 ,256
264,22500 ,1024
265,8900 ,8
265,9000 ,64
265,17500 ,256
265,51100 ,1024
266,0100 ,8
266,9000 ,64
266,08400 ,256
266,10700 ,1024
267,0000 ,8
267,2000 ,64
267,31900 ,256
267,59300 ,1024
268,25000 ,8
268,25700 ,64
268,30700 ,256
268,77900 ,1024
269,22400 ,8
269,21900 ,64
269,63700 ,256
269,55900 ,1024
270,08600 ,8
270,05200 ,64
270,46000 ,256
270,25400 ,1024
271,26600 ,8
271,64400 ,64
271,65000 ,256
271,44300 ,1024
272,19300 ,8
272,2900 ,64
272,25900 ,256
272,48700 ,1024
273,15000 ,8
273,7500 ,64
273,19600 ,256
273,29100 ,1024
274,5400 ,8
274,1600 ,64
274,13500 ,256
274,78200 ,1024
275,8300 ,8
275,8400 ,64
275,06300 ,256
275,53400 ,1024
276,14000 ,8
276,3700 ,64
276,14300 ,256
276,29600 ,1024
277,15300 ,8
277,02000 ,64
277,25500 ,256
277,31300 ,1024
278,4400 ,8
278,3600 ,64
278,27700 ,256
278,50400 ,1024
279,2800 ,8
279,0000 ,64
279,10800 ,256
279,87400 ,1024
280,27300 ,8
280,1700 ,64
280,11500 ,256
280,50400 ,1024
281,06400 ,8
281,8800 ,64
281,18400 ,256
281,72000 ,1024
282,8700 ,8
282,00700 ,64
282,44900 ,256
282,41400 ,1024
283,0800 ,8
283,0300 ,64
283,67700 ,256
283,42900 ,1024
284,2500 ,8
284,6000 ,64
284,20600 ,256
284,83000 ,1024
285,16500 ,8
285,2900 ,64
285,69300 ,256
285,54500 ,1024
286,44600 ,8
286,19000 ,64
286,55700 ,256
286,50300 ,1024
287,07200 ,8
287,24400 ,64
287,63800 ,256
287,39000 ,1024
288,76800 ,8
288,20300 ,64
288,56800 ,256
288,60500 ,1024
289,8500 ,8
289,07500 ,64
289,92200 ,256
289,17800 ,1024
290,0900 ,8
290,4500 ,64
290,13700 ,256
290,80000 ,1024
291,11100 ,8
291,16100 ,64
291,45700 ,256
291,47100 ,1024
292,7200 ,8
292,1100 ,64
292,26200 ,256
292,64000 ,1024
293,6300 ,8
293,7500 ,64
293,15200 ,256
293,47400 ,1024
294,06400 ,8
294,9000 ,64
294,28600 ,256
294,36500 ,1024
295,2600 ,8
295,8400 ,64
295,79300 ,256
295,67300 ,1024
296,13800 ,8
296,47900 ,64
296,60100 ,256
296,59900 ,1024
297,0100 ,8
297,21000 ,64
297,27000 ,256
297,34500 ,1024
298,5800 ,8
298,1200 ,64
298,48700 ,256
298,34900 ,1024
299,4000 ,8
299,4000 ,64
299,33800 ,256
299,48900 ,1024
300,3200 ,8
300,5500 ,64
300,8500 ,256
300,22900 ,1024
301,0000 ,8
301,4400 ,64
301,10500 ,256
301,14000 ,1024
302,3700 ,8
302,5200 ,64
302,16600 ,256
302,38500 ,1024
303,4700 ,8
303,0900 ,64
303,3600 ,256
303,24300 ,1024
304,3500 ,8
304,00900 ,64
304,00500 ,256
304,26800 ,1024
305,6900 ,8
305,3900 ,64
305,24700 ,256
305,22600 ,1024
306,1900 ,8
306,7700 ,64
306,2400 ,256
306,47100 ,1024
307,9800 ,8
307,3500 ,64
307,12800 ,256
307,17400 ,1024
308,6400 ,8
308,9200 ,64
308,5500 ,256
308,15700 ,1024
309,2700 ,8
309,0800 ,64
309,29400 ,256
309,44500 ,1024
310,11800 ,8
310,01100 ,64
310,44800 ,256
310,62800 ,1024
311,1900 ,8
311,7700 ,64
311,3200 ,256
311,04800 ,1024
312,8400 ,8
312,8900 ,64
312,08700 ,256
312,62700 ,1024
313,8700 ,8
313,4600 ,64
313,7900 ,256
313,33800 ,1024
314,4400 ,8
314,4900 ,64
314,9700 ,256
314,37900 ,1024
315,4600 ,8
315,25400 ,64
315,10300 ,256
315,35900 ,1024
316,0900 ,8
316,2000 ,64
316,04100 ,256
316,08100 ,1024
317,6400 ,8
317,3900 ,64
317,18200 ,256
317,35500 ,1024
318,19000 ,8
318,25600 ,64
318,61900 ,256
318,85400 ,1024
319,04900 ,8
319,09900 ,64
319,37800 ,256
319,32300 ,1024
320,04600 ,8
320,9300 ,64
320,43400 ,256
320,82900 ,1024
321,9400 ,8
321,8700 ,64
321,8800 ,256
321,13600 ,1024
322,7100 ,8
322,4700 ,64
322,13900 ,256
322,27900 ,1024
323,33200 ,8
323,34300 ,64
323,55800 ,256
323,99200 ,1024
324,3900 ,8
324,8800 ,64
324,33000 ,256
324,55400 ,1024
325,05300 ,8
325,9000 ,64
325,19200 ,256
325,66800 ,1024
326,4300 ,8
326,4900 ,64
326,9700 ,256
326,14100 ,1024
327,1100 ,8
327,8200 ,64
327,29100 ,256
327,38500 ,1024
328,5000 ,8
328,9100 ,64
328,29100 ,256
328,51000 ,1024
329,5800 ,8
329,33400 ,64
329,59000 ,256
329,27400 ,1024
330,38800 ,8
330,03200 ,64
330,26300 ,256
330,61700 ,1024
331,15200 ,8
331,57200 ,64
331,63600 ,256
331,15000 ,1024
332,15000 ,8
332,58900 ,64
332,71900 ,256
332,72100 ,1024
333,09700 ,8
333,16900 ,64
333,08600 ,256
333,10700 ,1024
334,33000 ,8
334,8400 ,64
334,29500 ,256
334,29300 ,1024
335,9100 ,8
335,01100 ,64
335,4700 ,256
335,34700 ,1024
336,1600 ,8
336,19500 ,64
336,04700 ,256
336,26400 ,1024
337,5100 ,8
337,4200 ,64
337,10200 ,256
337,48600 ,1024
338,8600 ,8
338,8400 ,64
338,07600 ,256
338,75000 ,1024
339,13300 ,8
339,9800 ,64
339,25700 ,256
339,78600 ,1024
340,4100 ,8
340,0300 ,64
340,14900 ,256
340,34000 ,1024
341,6500 ,8
341,8400 ,64
341,37800 ,256
341,38000 ,1024
342,6900 ,8
342,4100 ,64
342,03900 ,256
342,50100 ,1024
343,9000 ,8
343,6600 ,64
343,00200 ,256
343,75500 ,1024
344,0600 ,8
344,6400 ,64
344,02900 ,256
344,34700 ,1024
345,5500 ,8
345,6400 ,64
345,37600 ,256
345,45600 ,1024
346,0100 ,8
346,9300 ,64
346,14500 ,256
346,28500 ,1024
347,2200 ,8
347,1500 ,64
347,02600 ,256
347,79700 ,1024
348,4800 ,8
348,02900 ,64
348,08100 ,256
348,25000 ,1024
349,1700 ,8
349,69500 ,64
349,3800 ,256
349,34900 ,1024
350,8600 ,8
350,9000 ,64
350,26200 ,256
350,49000 ,1024
351,0700 ,8
351,5200 ,64
351,3100 ,256
351,39100 ,1024
352,45400 ,8
352,8200 ,64
352,0100 ,256
352,34100 ,1024
353,4800 ,8
353,04400 ,64
353,35300 ,256
353,82000 ,1024
354,3300 ,8
354,18900 ,64
354,74400 ,256
354,18200 ,1024
355,2300 ,8
355,02800 ,64
355,09700 ,256
355,82900 ,1024
356,05300 ,8
356,05000 ,64
356,57700 ,256
356,53400 ,1024
357,1300 ,8
357,76200 ,64
357,11700 ,256
357,30500 ,1024
358,7400 ,8
358,4300 ,64
358,53000 ,256
358,60500 ,1024
359,1200 ,8
359,6900 ,64
359,48100 ,256
359,50800 ,1024
360,5100 ,8
360,3700 ,64
360,55100 ,256
360,64400 ,1024
361,4200 ,8
361,0300 ,64
361,41300 ,256
361,38000 ,1024
362,1300 ,8
362,7200 ,64
362,06400 ,256
362,38300 ,1024
363,2700 ,8
363,6000 ,64
363,48700 ,256
363,25900 ,1024
364,2800 ,8
364,3100 ,64
364,04800 ,256
