Test Number,RTT(nano second),packet byte
1,689500 ,8
1,181700 ,64
1,691200 ,256
1,319400 ,1024
2,926400 ,8
2,967800 ,64
2,074100 ,256
2,568600 ,1024
3,094100 ,8
3,340400 ,64
3,930000 ,256
3,724800 ,1024
4,473400 ,8
4,166500 ,64
4,177200 ,256
4,312200 ,1024
5,180000 ,8
5,154800 ,64
5,106900 ,256
5,253900 ,1024
6,971800 ,8
6,009500 ,64
6,114800 ,256
6,877700 ,1024
7,561500 ,8
7,063600 ,64
7,995800 ,256
7,723700 ,1024
8,851400 ,8
8,165000 ,64
8,542400 ,256
8,329600 ,1024
9,261400 ,8
9,245400 ,64
9,295900 ,256
9,548900 ,1024
10,270500 ,8
10,273000 ,64
10,239000 ,256
10,967000 ,1024
11,219100 ,8
11,117300 ,64
11,994000 ,256
11,342100 ,1024
12,916100 ,8
12,025900 ,64
12,027100 ,256
12,499800 ,1024
13,972800 ,8
13,933700 ,64
13,052400 ,256
13,268900 ,1024
14,868100 ,8
14,073000 ,64
14,434000 ,256
14,558700 ,1024
15,968800 ,8
15,256800 ,64
15,060800 ,256
15,554800 ,1024
16,940200 ,8
16,125400 ,64
16,742800 ,256
16,266200 ,1024
17,054000 ,8
17,985900 ,64
17,019400 ,256
17,393100 ,1024
18,116500 ,8
18,231000 ,64
18,125900 ,256
18,574600 ,1024
19,944700 ,8
19,526900 ,64
19,035600 ,256
19,161400 ,1024
20,862700 ,8
20,968300 ,64
20,266600 ,256
20,435000 ,1024
21,891700 ,8
21,190700 ,64
21,337900 ,256
21,510500 ,1024
22,490400 ,8
22,906000 ,64
22,038900 ,256
22,626600 ,1024
23,1759900 ,8
23,2818100 ,64
23,2420900 ,256
23,665000 ,1024
24,026800 ,8
24,801500 ,64
24,117300 ,256
24,098700 ,1024
25,966500 ,8
25,274500 ,64
25,147800 ,256
25,577900 ,1024
26,827600 ,8
26,891200 ,64
26,894600 ,256
26,542600 ,1024
27,929100 ,8
27,892500 ,64
27,044800 ,256
27,434200 ,1024
28,040400 ,8
28,200100 ,64
28,441500 ,256
28,602900 ,1024
29,978700 ,8
29,118400 ,64
29,003100 ,256
29,289000 ,1024
30,075100 ,8
30,000400 ,64
30,916700 ,256
30,512000 ,1024
31,946800 ,8
31,041300 ,64
31,832500 ,256
31,190300 ,1024
32,047900 ,8
32,863900 ,64
32,921800 ,256
32,720500 ,1024
33,265000 ,8
33,464100 ,64
33,046700 ,256
33,260800 ,1024
34,829800 ,8
34,821100 ,64
34,026600 ,256
34,694600 ,1024
35,145300 ,8
35,881300 ,64
35,012700 ,256
35,283500 ,1024
36,868500 ,8
36,006500 ,64
36,953400 ,256
36,245100 ,1024
37,311600 ,8
37,255200 ,64
37,918700 ,256
37,174100 ,1024
38,275900 ,8
38,942700 ,64
38,880000 ,256
38,174600 ,1024
39,865900 ,8
39,993200 ,64
39,253300 ,256
39,069000 ,1024
40,029100 ,8
40,107800 ,64
40,085700 ,256
40,387300 ,1024
41,540600 ,8
41,879400 ,64
41,253000 ,256
41,605900 ,1024
42,095100 ,8
42,111700 ,64
42,920000 ,256
42,165600 ,1024
43,258000 ,8
43,944400 ,64
43,932300 ,256
43,342700 ,1024
44,077500 ,8
44,090200 ,64
44,933600 ,256
44,764200 ,1024
45,213800 ,8
45,118400 ,64
45,964200 ,256
45,434900 ,1024
46,069400 ,8
46,364000 ,64
46,908500 ,256
46,721500 ,1024
47,921400 ,8
47,899500 ,64
47,141300 ,256
47,419900 ,1024
48,937500 ,8
48,796200 ,64
48,044300 ,256
48,240100 ,1024
49,888700 ,8
49,932200 ,64
49,124700 ,256
49,121900 ,1024
50,404900 ,8
50,107800 ,64
50,927100 ,256
50,016100 ,1024
51,941300 ,8
51,143500 ,64
51,117600 ,256
51,183100 ,1024
52,880400 ,8
52,816500 ,64
52,707500 ,256
52,551200 ,1024
53,792100 ,8
53,232400 ,64
53,454100 ,256
53,315300 ,1024
54,006200 ,8
54,917200 ,64
54,390000 ,256
54,1831300 ,1024
55,8795000 ,8
55,199600 ,64
55,594800 ,256
55,155300 ,1024
56,932000 ,8
56,897500 ,64
56,490100 ,256
56,532500 ,1024
57,408600 ,8
57,960800 ,64
57,612000 ,256
57,156400 ,1024
58,044500 ,8
58,782800 ,64
58,950800 ,256
58,993000 ,1024
59,940200 ,8
59,937500 ,64
59,987200 ,256
59,159300 ,1024
60,323700 ,8
60,540600 ,64
60,054600 ,256
60,723900 ,1024
61,886600 ,8
61,822700 ,64
61,971200 ,256
61,572700 ,1024
62,378200 ,8
62,424900 ,64
62,920800 ,256
62,143500 ,1024
63,250300 ,8
63,950000 ,64
63,751400 ,256
63,230100 ,1024
64,887600 ,8
64,023200 ,64
64,099000 ,256
64,750600 ,1024
65,868200 ,8
65,202100 ,64
65,353500 ,256
65,499200 ,1024
66,243100 ,8
66,288700 ,64
66,171200 ,256
66,280800 ,1024
67,954900 ,8
67,846500 ,64
67,168800 ,256
67,643100 ,1024
68,936600 ,8
68,762400 ,64
68,599800 ,256
68,948000 ,1024
69,911700 ,8
69,884700 ,64
69,871300 ,256
69,520300 ,1024
70,078300 ,8
70,192900 ,64
70,895000 ,256
70,218900 ,1024
71,965400 ,8
71,956200 ,64
71,502800 ,256
71,170000 ,1024
72,876600 ,8
72,834700 ,64
72,264800 ,256
72,084700 ,1024
73,221600 ,8
73,841000 ,64
73,078500 ,256
73,104600 ,1024
74,942400 ,8
74,856800 ,64
74,990200 ,256
74,432200 ,1024
75,949500 ,8
75,080200 ,64
75,841200 ,256
75,666700 ,1024
76,895000 ,8
76,102400 ,64
76,015200 ,256
76,599900 ,1024
77,735500 ,8
77,617500 ,64
77,022600 ,256
77,258700 ,1024
78,909500 ,8
78,302300 ,64
78,021900 ,256
78,220800 ,1024
79,210200 ,8
79,976500 ,64
79,905500 ,256
79,527400 ,1024
80,380400 ,8
80,755800 ,64
80,889200 ,256
80,341400 ,1024
81,987200 ,8
81,892500 ,64
81,992400 ,256
81,528400 ,1024
82,578000 ,8
82,2169400 ,64
82,431700 ,256
82,274200 ,1024
83,923600 ,8
83,103100 ,64
83,718900 ,256
83,506000 ,1024
84,877300 ,8
84,380300 ,64
84,851500 ,256
84,226300 ,1024
85,978000 ,8
85,913800 ,64
85,024000 ,256
85,525400 ,1024
86,115000 ,8
86,749900 ,64
86,097600 ,256
86,219200 ,1024
87,300800 ,8
87,862100 ,64
87,789800 ,256
87,371000 ,1024
88,141400 ,8
88,054700 ,64
88,058000 ,256
88,284900 ,1024
89,912800 ,8
89,099500 ,64
89,943200 ,256
89,286100 ,1024
90,895000 ,8
90,463600 ,64
90,527400 ,256
90,262300 ,1024
91,785100 ,8
91,978800 ,64
91,500600 ,256
91,498700 ,1024
92,167000 ,8
92,767300 ,64
92,820800 ,256
92,261400 ,1024
93,071900 ,8
93,265700 ,64
93,862600 ,256
93,679900 ,1024
94,075700 ,8
94,086300 ,64
94,100100 ,256
94,260100 ,1024
95,956100 ,8
95,409200 ,64
95,001600 ,256
95,219400 ,1024
96,922700 ,8
96,872900 ,64
96,988200 ,256
96,528900 ,1024
97,013300 ,8
97,143900 ,64
97,879300 ,256
97,525600 ,1024
98,287100 ,8
98,797100 ,64
98,794700 ,256
98,272900 ,1024
99,886500 ,8
99,772000 ,64
99,819400 ,256
99,544900 ,1024
100,969800 ,8
100,793900 ,64
100,141400 ,256
100,824900 ,1024
101,817300 ,8
101,863200 ,64
101,177300 ,256
101,448100 ,1024
102,909500 ,8
102,800400 ,64
102,526000 ,256
102,842100 ,1024
103,604300 ,8
103,022700 ,64
103,230500 ,256
103,671400 ,1024
104,701300 ,8
104,073100 ,64
104,700600 ,256
104,396300 ,1024
105,992300 ,8
105,235200 ,64
105,827300 ,256
105,561900 ,1024
106,862900 ,8
106,949400 ,64
106,066900 ,256
106,225200 ,1024
107,939300 ,8
107,539700 ,64
107,874100 ,256
107,339700 ,1024
108,873400 ,8
108,062800 ,64
108,097100 ,256
108,747100 ,1024
109,072300 ,8
109,853500 ,64
109,892300 ,256
109,300600 ,1024
110,034100 ,8
110,082200 ,64
110,316700 ,256
110,232800 ,1024
111,133500 ,8
111,506400 ,64
111,739300 ,256
111,355300 ,1024
112,249100 ,8
112,494000 ,64
112,865700 ,256
112,814000 ,1024
113,977500 ,8
113,832500 ,64
113,523800 ,256
113,362900 ,1024
114,2799600 ,8
114,906200 ,64
114,965600 ,256
114,710700 ,1024
115,383100 ,8
115,023000 ,64
115,842000 ,256
115,362900 ,1024
116,872800 ,8
116,369900 ,64
116,947400 ,256
116,254000 ,1024
117,063100 ,8
117,064800 ,64
117,047900 ,256
117,457200 ,1024
118,212100 ,8
118,531200 ,64
118,098300 ,256
118,710200 ,1024
119,791000 ,8
119,358800 ,64
119,011200 ,256
119,606400 ,1024
120,943500 ,8
120,846700 ,64
120,919900 ,256
120,696100 ,1024
121,858400 ,8
121,748500 ,64
121,443100 ,256
121,186700 ,1024
122,085100 ,8
122,868700 ,64
122,687000 ,256
122,795100 ,1024
123,443700 ,8
123,840200 ,64
123,455400 ,256
123,192400 ,1024
124,768700 ,8
124,869300 ,64
124,910500 ,256
124,230100 ,1024
125,209900 ,8
125,536800 ,64
125,949400 ,256
125,547200 ,1024
126,500200 ,8
126,207900 ,64
126,462200 ,256
126,288100 ,1024
127,436500 ,8
127,838100 ,64
127,901200 ,256
127,108500 ,1024
128,937900 ,8
128,759800 ,64
128,920100 ,256
128,129200 ,1024
129,836300 ,8
129,829300 ,64
129,897500 ,256
129,219000 ,1024
130,060600 ,8
130,313000 ,64
130,953800 ,256
130,824700 ,1024
131,814100 ,8
131,775000 ,64
131,836900 ,256
131,437500 ,1024
132,922800 ,8
132,562100 ,64
132,432100 ,256
132,160300 ,1024
133,950800 ,8
133,809200 ,64
133,072100 ,256
133,158000 ,1024
134,861000 ,8
134,902800 ,64
134,131100 ,256
134,710200 ,1024
135,904600 ,8
135,215700 ,64
135,932200 ,256
135,290500 ,1024
136,861600 ,8
136,856900 ,64
136,896000 ,256
136,202000 ,1024
137,209100 ,8
137,873600 ,64
137,924600 ,256
137,743400 ,1024
138,389400 ,8
138,867900 ,64
138,095500 ,256
138,579800 ,1024
139,892600 ,8
139,922200 ,64
139,873800 ,256
139,738800 ,1024
140,844000 ,8
140,910800 ,64
140,251900 ,256
140,393200 ,1024
141,967300 ,8
141,921500 ,64
141,993800 ,256
141,353600 ,1024
142,178200 ,8
142,967600 ,64
142,007100 ,256
142,307000 ,1024
143,850900 ,8
143,3040700 ,64
143,3140000 ,256
143,807000 ,1024
144,026300 ,8
144,645800 ,64
144,905000 ,256
144,019400 ,1024
145,899700 ,8
145,825500 ,64
145,692700 ,256
145,260900 ,1024
146,677100 ,8
146,221800 ,64
146,847600 ,256
146,983000 ,1024
147,792900 ,8
147,495300 ,64
147,991200 ,256
147,540400 ,1024
148,826000 ,8
148,753200 ,64
148,227800 ,256
148,808700 ,1024
149,507900 ,8
149,969700 ,64
149,932700 ,256
149,454100 ,1024
150,160700 ,8
150,960400 ,64
150,319000 ,256
150,205200 ,1024
151,154400 ,8
151,116200 ,64
151,867900 ,256
151,046200 ,1024
152,788900 ,8
152,351700 ,64
152,244600 ,256
152,182400 ,1024
153,240700 ,8
153,326200 ,64
153,101800 ,256
153,340900 ,1024
154,003000 ,8
154,013400 ,64
154,463000 ,256
154,127300 ,1024
155,930700 ,8
155,714400 ,64
155,924400 ,256
155,574300 ,1024
156,893100 ,8
156,648800 ,64
156,624200 ,256
156,637200 ,1024
157,794700 ,8
157,866800 ,64
157,276800 ,256
157,162500 ,1024
158,699800 ,8
158,084100 ,64
158,870200 ,256
158,194900 ,1024
159,884400 ,8
159,318200 ,64
159,240800 ,256
159,080600 ,1024
160,742900 ,8
160,780800 ,64
160,922600 ,256
160,317500 ,1024
161,111700 ,8
161,143000 ,64
161,999400 ,256
161,214900 ,1024
162,868000 ,8
162,530800 ,64
162,830200 ,256
162,181500 ,1024
163,857300 ,8
163,950900 ,64
163,851900 ,256
163,100200 ,1024
164,894100 ,8
164,995300 ,64
164,947100 ,256
164,144600 ,1024
165,280700 ,8
165,792800 ,64
165,934400 ,256
165,105300 ,1024
166,839100 ,8
166,891600 ,64
166,985700 ,256
166,153100 ,1024
167,928800 ,8
167,772900 ,64
167,785300 ,256
167,493900 ,1024
168,824500 ,8
168,974200 ,64
168,831800 ,256
168,103800 ,1024
169,873800 ,8
169,557900 ,64
169,974200 ,256
169,090000 ,1024
170,842400 ,8
170,926600 ,64
170,927200 ,256
170,391500 ,1024
171,843500 ,8
171,834100 ,64
171,496300 ,256
171,284500 ,1024
172,892300 ,8
172,313400 ,64
172,864000 ,256
172,315700 ,1024
173,899700 ,8
173,963900 ,64
173,841000 ,256
173,288000 ,1024
174,756900 ,8
174,911900 ,64
174,5464100 ,256
174,969700 ,1024
175,936300 ,8
175,912400 ,64
175,273700 ,256
175,351300 ,1024
176,263700 ,8
176,125800 ,64
176,470000 ,256
176,101200 ,1024
177,082300 ,8
177,428300 ,64
177,829300 ,256
177,449200 ,1024
178,301300 ,8
178,927800 ,64
178,361300 ,256
178,372000 ,1024
179,834000 ,8
179,197100 ,64
179,883800 ,256
179,316900 ,1024
180,840900 ,8
180,374900 ,64
180,332600 ,256
180,276200 ,1024
181,723600 ,8
181,832500 ,64
181,6267500 ,256
181,935400 ,1024
182,898200 ,8
182,008300 ,64
182,975900 ,256
182,489500 ,1024
183,749300 ,8
183,959100 ,64
183,919600 ,256
